[2024-11-27 13:54:06] Connecting to server localhost:5001
[2024-11-27 13:54:06] Connected successfully
[2024-11-27 13:54:08] Sent message: REFRESH
[2024-11-27 13:54:09] Sent message: REFRESH
[2024-11-27 13:54:10] Sent message: REFRESH
[2024-11-27 13:54:10] Sent message: REFRESH
[2024-11-27 13:54:10] Sent message: REFRESH
[2024-11-27 13:54:11] Sent message: REFRESH
[2024-11-27 13:54:11] Sent message: REFRESH
[2024-11-27 13:54:11] Sent message: REFRESH
[2024-11-27 13:54:11] Sent message: REFRESH
[2024-11-27 13:54:12] Sent message: REFRESH
[2024-11-27 13:54:12] Sent message: REFRESH
[2024-11-27 13:54:12] Sent message: REFRESH
[2024-11-27 13:54:12] Sent message: REFRESH
[2024-11-27 13:54:13] Sent message: REFRESH
[2024-11-27 13:54:13] Sent message: REFRESH
[2024-11-27 13:54:13] Sent message: REFRESH
[2024-11-27 13:54:13] Sent message: REFRESH
[2024-11-27 13:54:13] Sent message: REFRESH
[2024-11-27 13:54:14] Sent message: REFRESH
[2024-11-27 13:54:14] Sent message: REFRESH
[2024-11-27 13:54:14] Sent message: REFRESH
[2024-11-27 13:54:14] Sent message: REFRESH
[2024-11-27 13:54:41] Sent message: REFRESH
[2024-11-27 13:54:42] Sent message: REFRESH
[2024-11-27 13:54:50] Sent message: REFRESH
[2024-11-27 13:55:50] Sent message: REFRESH
